date,BYR,USD,EUR,KZT,UAH,AZN,KGS,UZS,GEL,BYN
01/07/2006,12.5715,26.9423,34.2383,0.227707,5.34824,,,,,
01/08/2006,12.5158,26.8197,34.2112,0.22661,5.32,,,,,
01/09/2006,12.478,26.7295,34.318,0.213213,5.29098,,,,,
01/10/2006,12.5052,26.7799,33.9783,0.210492,5.29896,,,,,
01/11/2006,12.5036,26.7811,33.9852,0.209511,5.28414,,,,,
01/12/2006,12.2874,26.3081,34.6899,0.205628,5.20303,,,,,
01/01/2007,12.2906,26.3311,34.6965,0.207609,5.21987,,,,,
01/02/2007,12.3467,26.5484,34.3802,0.210323,5.23823,,,,,
01/03/2007,12.1718,26.1481,34.539,0.210008,5.16567,,,,,
01/04/2007,12.1237,26.0113,34.6861,0.210061,5.13966,,,,,
01/05/2007,11.9479,25.6851,35.0653,0.213842,5.08233,,,,,
01/06/2007,12.0492,25.9043,34.8128,0.211337,5.13709,,,,,
01/07/2007,12.0187,25.8162,34.715,0.211011,5.11465,,,,,
01/08/2007,11.8917,25.5448,35.0015,0.206631,5.07778,,,,,
01/09/2007,11.9143,25.6262,35.0233,0.202803,5.09528,,,,,
01/10/2007,11.601,24.9493,35.3457,0.206255,4.95517,,,,,
01/11/2007,11.4575,24.6724,35.6492,0.204098,4.87713,,,,,
01/12/2007,11.3252,24.4171,36.0055,0.20202,4.81239,,,,,
01/01/2008,11.3897,24.5462,35.9332,0.203492,4.82357,,,,,
01/02/2008,11.3498,24.4262,36.29,0.203185,4.79001,,,,,
01/03/2008,11.1762,24.0023,36.5099,0.198601,4.70975,,,,,
01/04/2008,10.9442,23.5027,37.0873,0.194725,4.66203,,,,,
01/05/2008,11.0478,23.6588,36.8959,0.196499,4.73583,,,,,
01/06/2008,11.1144,23.7384,36.7827,0.196848,4.93501,,,,,
01/07/2008,11.0143,23.4068,36.971,0.193826,4.96359,,,,,
01/08/2008,11.0752,23.4186,36.5752,0.19483,5.01576,,,,,
01/09/2008,11.6368,24.5769,36.2264,0.20551,5.28535,,,,,
01/10/2008,12.0046,25.3718,36.4999,0.211555,5.00529,,,,,
01/11/2008,12.8214,27.0981,34.4092,0.226138,4.52767,,,,,
01/12/2008,12.888,27.606,35.7166,0.229333,3.74319,,,,,
01/01/2009,13.3537,29.3916,41.4275,0.242475,3.82952,,,,,
01/02/2009,13.0057,35.4146,45.6636,0.290212,4.5564,,,,,
01/03/2009,12.5291,35.7205,45.3543,0.237054,4.20241,,,,,
01/04/2009,11.9462,33.9032,44.8946,0.224651,4.21158,,,,,
01/05/2009,11.6681,32.974,43.9939,0.21861,4.06084,,,,,
01/06/2009,11.1214,30.9843,43.378,0.205889,4.05288,,,,,
01/07/2009,10.9368,31.0385,43.8512,0.206222,4.05732,,,,,
01/08/2009,10.931,31.1533,43.9978,0.206683,3.87961,,,,,
01/09/2009,11.2667,31.8397,45.4321,0.211097,3.76578,,,,,
01/10/2009,10.8531,30.0087,43.8877,0.198812,3.60898,,,,,
01/11/2009,10.5863,29.0488,43.0678,0.192676,3.53392,,,,,
01/12/2009,10.4451,29.0687,43.7658,0.195486,3.62679,,,,,
01/01/2010,10.5395,30.1851,43.4605,0.203239,3.7497,,,,,
01/02/2010,10.5408,30.4312,42.4637,0.205686,3.78969,37.798,0.688099,0.0199676,,
01/03/2010,10.2178,29.9484,40.8047,0.203281,3.73328,37.1984,0.669238,0.0194805,,
01/04/2010,9.9012,29.4956,39.5713,0.200691,3.6999,36.6359,0.651908,0.0189841,,
01/05/2010,9.8426,29.1537,38.6986,0.199042,3.65885,36.2879,0.644352,0.0186114,,
01/06/2010,10.2433,30.74,37.8133,0.209579,3.87886,38.2529,0.668261,0.0194696,,
01/07/2010,10.3529,31.2554,38.2097,0.211808,3.94569,38.8749,0.679465,0.0195959,,
01/08/2010,10.1434,30.1869,39.4694,0.204352,3.82316,37.5646,0.647093,0.0188016,,
01/09/2010,10.2446,30.8669,39.0127,0.209487,3.91364,38.4108,0.66167,0.0191362,,
01/10/2010,10.1337,30.5126,41.4392,0.206746,3.84386,38.003,0.654075,0.0188326,,
01/11/2010,10.2198,30.7821,42.7256,0.20865,3.87172,38.4296,0.659367,0.0189277,,
01/12/2010,10.3343,31.3335,41.0814,0.212229,3.93316,39.1767,0.668808,0.0191771,,
01/01/2011,10.1135,30.3505,40.4876,0.205829,3.80929,37.9476,0.644395,0.0185064,,
01/02/2011,9.8944,29.8018,40.5811,0.20272,3.75101,37.3972,0.630459,0.0180525,,
01/03/2011,9.561,28.9028,39.8136,0.197992,3.6413,36.3374,0.608756,0.017364,,
01/04/2011,93.6185,28.5162,40.3875,0.195672,3.57682,35.8514,0.603584,0.0169969,,
01/05/2011,91.2482,27.5022,40.8078,0.188863,3.45288,34.7425,0.587183,0.0162584,,
01/06/2011,56.2083,27.9805,40.2444,0.192405,3.50655,35.4453,0.612289,0.0164419,,
01/07/2011,56.1382,27.8726,40.4153,0.191105,3.48909,35.4298,0.616559,0.0162898,,
01/08/2011,55.9071,27.6796,39.5182,0.189139,3.46125,35.1889,0.619196,0.0160467,,
01/09/2011,56.7546,28.9278,41.7631,0.197338,3.62005,36.8507,0.647118,0.0166814,,
01/10/2011,56.9326,32.11,43.4191,0.216864,4.01561,40.9828,0.713543,0.0183843,,
01/11/2011,35.4406,30.1245,42.1833,0.20384,3.76321,38.3459,0.66066,0.0171006,,
01/12/2011,36.5117,31.4001,41.7559,0.212572,3.91498,39.9645,0.670501,0.0176383,,
01/01/2012,38.5582,32.1961,41.6714,0.216874,4.00549,40.9776,0.695628,0.0179365,,
01/02/2012,36.2164,30.3131,39.9678,0.204039,3.7731,38.5859,0.648052,0.0167645,,
01/03/2012,35.9669,29.0253,39.1029,0.196475,3.63066,36.9702,0.624334,0.0158791,,
01/04/2012,36.3423,29.3282,39.1707,0.198371,3.65165,37.337,0.626113,0.015909,,
01/05/2012,36.4754,29.3627,38.9203,0.198712,3.65476,37.3952,0.626312,0.0158191,,
01/06/2012,39.4219,32.9173,40.8076,0.222347,4.07367,41.9489,0.701335,0.0175893,,
01/07/2012,39.3488,32.8169,41.323,0.219621,4.06225,41.8263,0.695761,0.0174118,,
01/08/2012,39.0373,32.2058,39.5101,0.21467,3.97735,41.0474,0.683069,0.0169449,,
01/09/2012,38.724,32.5669,40.7249,0.21762,4.01095,41.5235,0.706834,0.0169466,,
01/10/2012,36.6314,30.9169,39.9786,0.205982,3.79442,39.4097,0.658218,0.0159481,,
01/11/2012,36.7811,31.3743,40.6548,0.208052,3.83643,40.008,0.665621,0.0160383,,
01/12/2012,35.9103,30.811,40.0759,0.204697,3.76212,39.2947,0.651977,0.0156446,,
01/01/2013,35.3376,30.3727,40.2286,0.202107,3.759,38.7407,0.640753,0.0153011,,
01/02/2013,34.7811,30.0161,40.7138,0.19898,3.69429,38.3005,0.628352,0.0150193,,
01/03/2013,35.4178,30.5124,40.1024,0.202936,3.74477,38.9139,0.641453,0.0153522,,
01/04/2013,35.8104,31.0834,39.8023,0.206,3.81626,39.6472,0.64802,0.0152109,,
01/05/2013,35.9714,31.0433,40.6264,0.205313,3.82189,39.6061,0.64443,0.0150294,,
01/06/2013,36.5914,31.7979,41.4486,0.209922,3.90446,40.5689,0.659297,0.0152838,,
01/07/2013,37.2116,32.709,42.718,0.215673,4.01067,41.7366,0.672459,0.015598,,
01/08/2013,37.1366,33.033,43.7786,0.215164,4.0676,42.1501,0.675874,0.0156517,,
01/09/2013,36.8801,33.2474,44.0129,0.216899,4.09325,42.4182,0.682548,0.0156311,,
01/10/2013,35.677,32.4839,43.8143,0.211209,3.9658,41.4494,0.668122,0.0152513,,
01/11/2013,34.6578,32.0758,43.9406,0.208014,3.91765,40.9443,0.66132,0.0147306,,
01/12/2013,35.499,33.1916,45.187,0.215663,4.0443,42.3741,0.678072,0.0151352,,
01/01/2014,34.2334,32.6587,45.0559,0.21176,3.96343,41.6884,0.663161,0.0146452,,
01/02/2014,36.4182,35.18,47.6408,0.226231,4.1856,44.924,0.697797,0.0158468,,
01/03/2014,36.942,36.1847,49.5839,0.196347,3.38175,46.1952,0.690075,0.0161107,,
01/04/2014,36.0013,35.6053,48.968,0.195537,3.16492,45.4613,0.65344,0.0156852,,
01/05/2014,35.7585,35.7227,49.3188,0.196219,3.11989,45.6112,0.662003,0.0156941,,
01/06/2014,34.4595,34.7352,47.2677,0.189303,2.94366,44.3447,0.664528,0.0151257,,
01/07/2014,33.1798,33.8434,46.1827,0.184418,2.88029,43.2117,0.649897,0.0147374,,
01/08/2014,34.3448,35.4438,47.4699,0.19364,2.89692,45.2609,0.684881,0.015224,,
01/09/2014,35.409,36.9316,48.6315,0.20291,2.73567,47.0466,0.697578,0.015888,,
01/10/2014,37.1193,39.3836,49.9817,0.216471,3.0412,50.2855,0.722367,0.0166358,,
01/11/2014,39.1078,41.9627,52.7219,0.232011,3.22728,53.5375,0.731715,0.017602,,
01/12/2014,45.3327,49.322,61.4108,0.272542,3.2831,62.9911,0.8566,0.0205415,,
01/01/2015,38.7846,56.2376,68.3681,0.308143,3.55525,71.6951,0.955017,0.0232157,,
01/02/2015,44.1005,68.9291,78.1105,0.373711,4.32993,88.0208,1.15247,0.0282942,,
01/03/2015,40.9845,61.2718,68.6857,0.330663,2.07701,58.4766,0.999312,0.0248064,,
01/04/2015,39.2177,57.65,62.0487,0.310447,2.45842,54.9833,0.902564,0.0231619,,
01/05/2015,35.8366,51.1388,57.1578,0.275236,2.40653,48.764,0.851313,0.0205956,,
01/06/2015,35.6112,52.9716,58.0145,0.284855,2.5105,50.478,0.910991,0.0208961,,
01/07/2015,36.5813,55.8413,62.3803,0.299883,2.65911,53.2684,0.899523,0.0218557,,
01/08/2015,39.649,60.3458,66.0002,0.321947,2.85323,57.412,0.96092,0.0234353,,
01/09/2015,38.3862,66.7152,74.8478,0.27856,3.06737,63.6595,1.06591,0.0257389,,
01/10/2015,37.1917,65.7364,73.776,0.242588,3.08549,62.7256,0.954973,0.0250902,,
01/11/2015,36.9012,64.3742,70.7537,0.229859,2.79281,61.3497,0.930263,0.0240831,,
01/12/2015,36.957,66.737,70.6478,0.216996,2.80998,63.4865,0.91383,0.0242642,,
01/01/2016,39.0417,72.9299,79.6395,0.213821,3.0352,46.6871,0.949237,0.0264911,,
01/02/2016,36.0971,75.1723,81.9077,0.206961,2.95954,46.9592,0.990543,0.0267422,,
01/03/2016,35.3185,75.8994,83.1023,0.21701,2.80072,48.4825,1.01036,0.0266782,,
01/04/2016,33.6834,67.8552,76.9207,0.197414,2.58496,44.0018,0.943678,0.0238088,,
01/05/2016,33.4721,64.3334,73.3015,0.196618,2.55291,42.7266,0.945107,0.0221916,,
01/06/2016,33.3483,65.9962,73.4406,0.19654,2.62358,44.3195,0.966289,0.0222584,,
01/07/2016,,64.1755,71.2926,0.189448,2.5846,41.3769,0.950945,0.0218062,,31.8884
01/08/2016,,67.0512,74.3799,0.190273,2.70368,41.8808,0.992215,0.0227292,,33.618
01/09/2016,,65.2535,72.6859,0.191699,2.50013,39.9813,0.947089,0.0218239,,33.3096
01/10/2016,,63.396,70.9338,0.188946,2.44348,38.8147,0.933192,0.0210618,,32.9415
01/11/2016,,63.2174,69.2863,0.188664,2.47911,38.1149,0.920865,0.0203784,,33.2111
01/12/2016,,65.2382,69.3417,0.19092,2.54837,37.2088,0.943342,0.0207105,,32.9652
01/01/2017,,60.6569,63.8111,0.181637,2.23826,33.6665,0.874012,0.0189257,,30.9474
01/02/2017,,60.0851,64.285,0.185743,2.21634,31.063,0.869113,0.0184593,,31.0598
01/03/2017,,57.9627,61.3883,0.185377,2.13333,32.8531,0.836982,0.0173385,,30.7658
01/04/2017,,55.9606,59.8107,0.178432,2.0707,32.6301,0.81567,0.0155749,,29.8935
01/05/2017,,56.9838,62.044,0.181226,2.14669,33.4707,0.847437,0.0153802,,30.4401
01/06/2017,,56.6876,63.4107,0.181531,2.15481,33.3065,0.832417,0.0147397,,30.3548
01/07/2017,,59.3862,67.8072,0.183719,2.28058,34.89,0.858331,0.0150079,,30.6193
01/08/2017,,60.0633,70.4603,0.182184,2.32308,35.3127,0.868594,0.0147563,,30.8809
01/09/2017,,58.5454,69.6222,0.173291,2.2767,34.4182,0.848607,0.0140027,,30.2638
01/10/2017,,58.0169,68.4483,0.170075,2.1815,34.1236,0.844005,0.0071901,,29.5357
01/11/2017,,58.1179,67.6434,0.173639,2.16373,34.187,0.845167,0.0071945,,29.4417
01/12/2017,,58.5814,69.5185,0.176847,2.1565,34.4901,0.840479,0.00723595,,29.0755
01/01/2018,,57.6002,68.8668,0.173184,2.04955,33.8228,0.834786,0.00709358,,29.1013
01/02/2018,,56.184,69.9322,0.17416,2.0181,32.9912,0.820804,0.00687203,,28.3829
01/03/2018,,56.3742,68.9062,0.175963,2.10351,33.1126,0.827208,0.00689878,,28.7697
01/04/2018,,57.2649,70.5618,0.179829,2.17613,33.6358,0.835685,0.00703586,,29.329
01/05/2018,,61.9997,75.2056,0.189546,2.36369,36.2614,0.899354,0.0076845,,31.0542
01/06/2018,,62.0188,72.5806,0.188281,2.37483,36.4495,0.906045,0.00776964,,30.8398
01/07/2018,,62.7565,72.9921,0.183843,2.38527,36.883,0.920858,0.00797247,,31.5359
01/08/2018,,62.3497,73.0738,0.179576,2.31999,36.644,0.914889,0.00800189,,31.4374
01/09/2018,,68.0447,79.4966,0.187126,2.40866,40.1089,0.985441,0.00869333,,32.6745
01/10/2018,,65.5906,76.2294,0.180626,2.32056,38.6623,0.948664,0.00811865,,31.093
01/11/2018,,65.5962,74.4189,0.177753,2.3348,38.6656,0.941122,0.00796375,,30.9562
01/12/2018,,66.5335,75.7484,0.178169,2.35508,39.2181,0.95252,0.00801695,,31.2217
01/01/2019,,69.4706,79.4605,0.18057,2.50706,40.9494,0.994568,0.00833278,,32.0732
01/02/2019,,65.3577,75.2006,0.171867,2.35499,38.525,0.936357,0.00779704,,30.406
01/03/2019,,65.8895,74.9691,0.175738,2.45673,38.8385,0.945466,0.00784852,,30.8212
01/04/2019,,64.7347,72.723,0.170498,2.38008,38.1578,0.927431,0.00771802,,30.4305
01/05/2019,,64.6314,72.3096,0.169558,2.44839,38.0969,0.92562,0.00765281,,30.6906
01/06/2019,,65.3834,72.8436,0.170928,2.4333,38.5402,0.934155,0.00770721,,31.1884
01/07/2019,,63.0756,71.8179,0.165759,2.41161,37.1798,0.906649,0.00736878,,30.8831
01/08/2019,,63.4172,70.7355,0.164966,2.53276,37.3812,0.908816,0.00734135,,31.1648
01/09/2019,,66.4897,73.3847,0.171686,2.64585,39.1923,0.954626,0.00707337,,31.6768
01/10/2019,,64.6407,70.7169,0.166503,2.67497,38.1024,0.924469,0.00685116,,31.1266
01/11/2019,,63.7748,71.1918,0.164083,2.56843,37.3651,0.911655,0.00674152,,31.099
01/12/2019,,64.0817,70.5475,0.165875,2.67341,37.7729,0.915453,0.00673835,,30.4022
01/01/2020,,61.9057,69.3777,0.161665,2.61205,36.4902,0.886979,0.00651121,,29.3545
01/02/2020,,63.1385,69.5976,0.166537,2.52296,37.2169,0.903564,0.00660215,,29.5495
01/03/2020,,66.9909,73.7235,0.175541,2.7257,39.4877,0.958695,0.00705019,,29.9347
01/04/2020,,77.7325,85.7389,0.174278,2.75213,45.933,0.972264,0.0081543,,30.1979
01/05/2020,,72.7263,79.1189,0.171298,2.69798,42.8684,0.909415,0.0071871,,30.1832
01/06/2020,,70.752,78.5489,0.171643,2.62872,41.7047,0.95947,0.0069782,,29.3516
01/07/2020,,70.4413,78.9929,0.174099,2.64194,41.4604,0.926665,0.00692408,,29.2106
01/08/2020,,73.4261,87.2889,0.174086,2.65196,43.2172,0.956287,0.00719321,,30.089
01/09/2020,,73.8039,87.8266,0.175623,2.67537,43.4396,0.940231,0.00719135,,27.7866
01/10/2020,,78.7847,92.4302,0.181995,2.78337,46.3712,0.989419,0.00767284,,30.0739
01/11/2020,,79.3323,92.6284,0.183154,2.78971,46.6935,0.971067,0.00765682,,30.0946
01/12/2020,,76.1999,91.2037,0.179066,2.67321,44.8499,0.898313,0.00735449,,29.4583
01/01/2021,,73.8757,90.7932,0.175252,2.60711,43.4819,0.893546,0.00705128,,28.5234
01/02/2021,,76.2527,92.2963,0.179782,2.7094,44.8809,0.89892,0.00728993,,29.0431
01/03/2021,,74.4373,90.3743,0.178255,2.66296,43.8124,0.878764,0.00706335,,28.5879
01/04/2021,,75.6373,88.7452,0.177801,2.71942,44.5187,0.891882,0.00722076,,28.8483
01/05/2021,,74.8451,90.585,0.174178,2.69783,44.0524,0.882325,0.00712193,,29.2398
01/06/2021,,73.2965,89.3778,0.170912,2.66893,42.8484,0.876199,0.00692741,,28.9732
01/07/2021,,72.7234,86.5118,0.169778,2.67074,42.8036,0.858689,0.00685727,,28.749
01/08/2021,,73.1388,86.9913,0.171891,2.72718,43.0481,0.862352,0.00688365,,29.2006
01/09/2021,,73.2781,86.666,0.171752,2.72558,43.1301,0.864871,0.00687852,,29.2726
01/10/2021,,72.6642,84.305,0.170653,2.72887,42.7688,0.856132,0.00679619,,29.0065
01/11/2021,,70.52,82.2898,0.16494,2.68152,41.5068,0.831363,0.00660114,,29.1501
01/12/2021,,74.8926,84.8234,0.170443,2.74319,44.0804,0.882884,0.00694284,,29.4331
01/01/2022,,74.2926,84.0695,0.169,2.72584,43.7273,0.875906,0.00685504,,29.1458
01/02/2022,,77.4702,86.5032,0.178379,2.71136,45.5975,0.913279,0.00716311,,29.8444
01/03/2022,,93.5589,104.4772,0.188393,3.10053,55.067,1.10069,0.00863067,,33.9264
01/04/2022,,83.4097,92.493,0.177349,2.82427,49.1455,0.873632,0.00749024,,28.3398
01/05/2022,,71.0237,74.5589,0.158362,2.34698,41.7786,0.865073,0.00635286,,26.7671
01/06/2022,,61.6069,62.7397,0.144147,2.0778,36.2394,0.75582,0.00559509,,23.9111
01/07/2022,,52.5123,54.6405,0.11291,1.77865,30.8896,0.660532,0.00483528,,20.4623
01/08/2022,,61.3101,62.5695,0.128055,1.67551,36.0648,0.737131,0.0056206,,23.4276
01/09/2022,,60.2386,60.2141,0.128687,1.63195,35.4345,0.74646,0.0055113,,23.5804
01/10/2022,,55.2987,52.7379,0.115957,1.4978,32.5286,0.689707,0.00502076,,22.2952
01/11/2022,,61.6229,61.1196,0.131955,1.6685,36.2488,0.73796,0.00551165,,24.8851
01/12/2022,,60.8803,63.0504,0.129967,1.64844,35.8119,0.720919,0.00542945,,25.0279
01/01/2023,,70.3375,75.6553,0.152583,1.91387,41.375,0.820933,0.00626589,,25.7044
01/02/2023,,70.5174,76.3004,0.153325,1.90963,41.4808,0.818542,0.0062396,26.701,26.3676
01/03/2023,,74.8932,79.5134,0.166748,2.03132,44.0548,0.856706,0.006616,28.5069,26.7304
01/04/2023,,77.3233,84.1116,0.172577,2.09349,45.4843,0.884504,0.00676304,30.1997,27.0949
01/05/2023,,80.5093,88.3712,0.176474,2.18067,47.3584,0.919896,0.00706827,32.2153,27.5198
01/06/2023,,80.9942,86.5009,0.181163,2.19394,47.6436,0.924697,0.00710112,31.249,27.7339
01/07/2023,,88.3844,96.0195,0.194624,2.39331,51.9908,1.01357,0.00769355,33.7641,29.1515
01/08/2023,,91.5923,100.9428,0.205511,2.48005,53.8778,1.0443,0.00789577,34.6507,30.1846
01/09/2023,,96.3344,104.9407,0.208769,2.61303,56.6673,1.09156,0.00796813,36.6402,29.8332
01/10/2023,,97.4147,103.1631,0.20398,2.63752,57.3028,1.09813,0.00800116,36.3054,29.6535
01/11/2023,,92.0226,97.9345,0.195017,2.53715,54.1309,1.03027,0.00753097,34.022,29.1027
01/12/2023,,88.5819,96.8827,0.192964,2.43523,52.107,0.993468,0.0072135,32.6521,28.4829
